unnamed: 0,incident id,incident date,state,city,address,dead,injured,crimetype,participant gender,participant name,participant age group,year,month,day,weekday,loss
5259,1835704.0,2020-10-26,Missouri,Saint Louis,1400 block of E John Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5260,1834974.0,2020-10-26,Michigan,Lincoln Park,1500 block of Hanover St,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,2.0
5261,1846479.0,2020-10-26,Texas,Corpus Christi,14333 I-37,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5262,1835954.0,2020-10-26,New York,Corona (Queens),137-02 Cross Bay Blvd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5263,1836049.0,2020-10-26,Arizona,Mesa,N Longmore and W University Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5264,1836052.0,2020-10-26,Arizona,Tucson,2300 block of E Calle Joya de Ventura,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5265,1838605.0,2020-10-26,South Carolina,Rock Hill,S Jones Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5266,1836038.0,2020-10-26,Arizona,Phoenix,4230 W McDowell Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5267,1836318.0,2020-10-26,Indiana,Bloomington,1600 block of N Willis Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5268,1835721.0,2020-10-26,Pennsylvania,Philadelphia,4800 block of Westminster Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5269,1835717.0,2020-10-26,Georgia,Riverdale,160 Roberts Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5270,1835921.0,2020-10-26,Texas,Missouri City (Sienna Plantation),2500 block of Amethyst Isle Ln,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5271,1835907.0,2020-10-26,Texas,Houston,2525 Old Farm Rd,2.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,2.0
5272,1835689.0,2020-10-26,South Carolina,Florence,S 5th St and Mars Bluff Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5273,1834750.0,2020-10-26,Florida,Pensacola,Glass Dr and Michigan Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5274,1835197.0,2020-10-26,Maryland,Baltimore,1800 Bloomingdale Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5275,1835550.0,2020-10-26,New Jersey,Linden,1500 block of E St Georges Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5276,1835517.0,2020-10-26,Alabama,Bessemer,6th Ave and 15th St,1.0,3.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,4.0
5277,1835449.0,2020-10-26,Pennsylvania,Philadelphia,6100 block of Locust St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,26,0,1.0
5278,1834523.0,2020-10-25,Texas,Dallas,7204 Lost Canyon Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5279,1834471.0,2020-10-25,Tennessee,Memphis,1581 E Brooks Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5280,1834530.0,2020-10-25,Texas,Fort Worth,1110 block of E Arlington Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5281,1834216.0,2020-10-25,Texas,Fort Worth,1900 block of Carver Ave,2.0,3.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,5.0
5282,1835398.0,2020-10-25,California,Wilmington,Anaheim Street and Quay Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5283,1834488.0,2020-10-25,Virginia,Petersburg,1908 Boydton Plank Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5284,1835134.0,2020-10-25,New Jersey,East Rutherford,1 Racetrack Dr,2.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,2.0
5285,1835030.0,2020-10-25,Texas,San Antonio,2800 block of W Hutchins Pl,1.0,3.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,4.0
5286,1834280.0,2020-10-25,North Carolina,Raleigh,1731 Trawick Rd,1.0,3.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,4.0
5287,1834418.0,2020-10-25,Kentucky,East Bernstadt,2792 E KY 30,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5288,1840610.0,2020-10-25,Texas,Fort Worth,8000 block of N Beach St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5289,1834769.0,2020-10-25,Indiana,Anderson,1400 block of Forkner St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5290,1834492.0,2020-10-25,Texas,Austin,1104 E 11th St,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,2.0
5291,1834604.0,2020-10-25,Rhode Island,Pawtucket,930 Main St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5292,1835304.0,2020-10-25,Ohio,Columbus,1456 Briarwood Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5293,1834377.0,2020-10-25,Michigan,Detroit,3400 block of Van Dyke St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5294,1834577.0,2020-10-25,Ohio,Columbus,1000 block of Studer Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5295,1834448.0,2020-10-25,New York,Rochester,81 Colvin St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5296,1834733.0,2020-10-25,Illinois,Chicago,9000 block of S Laflin St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5297,1834183.0,2020-10-25,Illinois,Chicago,7100 block of S Mozart St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5298,1835023.0,2020-10-25,Tennessee,Newbern,100 block of Smith St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5299,1837070.0,2020-10-25,Hawaii,Pahoa,Pahoa Kalapana Rd and HI-137,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5300,1834607.0,2020-10-25,Iowa,Davenport,2300 block of W 2nd St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5301,1835068.0,2020-10-25,Nebraska,Raymond,NW 98th St and W Davey Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5302,1834689.0,2020-10-25,Delaware,Wilmington,2300 block of N Pine St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5303,1834687.0,2020-10-25,Delaware,Wilmington,1100 block of N Heald St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5304,1848573.0,2020-10-25,Texas,Forestburg,,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5305,1834204.0,2020-10-25,Texas,Dallas,2250 Manana Dr,3.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,3.0
5306,1835164.0,2020-10-25,New Mexico,Albuquerque,Central Ave SE and Valencia Dr SE,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5307,1835466.0,2020-10-25,Texas,Fort Worth,1519 Homan Ave,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,2.0
5308,1834170.0,2020-10-25,Minnesota,Saint Paul (Shoreview),5900 block of Turtle Lake Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5309,1834162.0,2020-10-25,Georgia,Columbus,3023 Victory Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5310,1838792.0,2020-10-25,Utah,Stockton,,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5311,1833928.0,2020-10-25,Wisconsin,Milwaukee,4137 W Fond Du Lac Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5312,1833960.0,2020-10-25,Pennsylvania,Philadelphia,300 block of N 62nd St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5313,1834811.0,2020-10-25,Arizona,Phoenix,I-17 and Jomax Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5314,1835053.0,2020-10-25,Iowa,Davenport,903 E Kimberly Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5315,1834130.0,2020-10-25,Missouri,Columbia,300 block of W Brookside Ln,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5316,1834469.0,2020-10-25,Tennessee,Memphis,1291 Quail Ridge Ln,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5317,1834333.0,2020-10-25,South Carolina,Dillon,Bunker Hill Rd,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,2.0
5318,1835002.0,2020-10-25,South Carolina,Spartanburg,Walden Cir,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,2.0
5319,1835960.0,2020-10-25,Michigan,Clarkston,Sturbridge Ln,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5320,1834006.0,2020-10-25,Pennsylvania,Philadelphia,6429 Rising Sun Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5321,1835246.0,2020-10-25,Minnesota,Minneapolis,1700 block of Emerson Ave S,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5322,1834711.0,2020-10-25,Missouri,Saint Louis,Lasalle Park Ct and S 9th St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5323,1835125.0,2020-10-25,Texas,Richardson,700 block of Brick Row,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5324,1834401.0,2020-10-25,Massachusetts,Boston,18 Dunreath St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5325,1834186.0,2020-10-25,South Carolina,Hardeeville,2641 Speedway Blvd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5326,1833944.0,2020-10-25,Wisconsin,Milwaukee,3700 block of N 41st St,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,2.0
5327,1834854.0,2020-10-25,Indiana,Griffith,1900 Park W Blvd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5328,1834825.0,2020-10-25,Georgia,Decatur,I-20 and Panola Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5329,1834961.0,2020-10-25,Missouri,Saint Louis (Overland),8430 Plaza Rock Ct,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,2.0
5330,1834122.0,2020-10-25,Kentucky,Louisville,2000 block of W Main St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5331,1834781.0,2020-10-25,Florida,Miami,SW 376th St and SW 193rd Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5332,1834390.0,2020-10-25,Maryland,Baltimore,3600 block of W Rogers Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5333,1834715.0,2020-10-25,Illinois,Chicago,1900 block of S Saint Louis Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5334,1834696.0,2020-10-25,Maryland,Cambridge,600 block of Chesapeake Ct,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5335,1834691.0,2020-10-25,Ohio,Cincinnati,2068 Bickel Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5336,1835435.0,2020-10-25,Pennsylvania,York,300 block of Brooklyn Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5337,1835571.0,2020-10-25,Mississippi,Jackson,400 block of Idlewild St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5338,1834473.0,2020-10-25,Alabama,Bessemer,4800 block of Academy Ct,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5339,1835563.0,2020-10-25,Alabama,Bessemer (Hueytown),100 block of Church Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5340,1835539.0,2020-10-25,New Jersey,Paterson,,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5341,1835552.0,2020-10-25,Alabama,Montgomery,S Court St and Huntley Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5342,1836378.0,2020-10-25,Louisiana,Baton Rouge,3500 block of Webb Dr,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,2.0
5343,1839906.0,2020-10-25,Texas,Houston,8201 Richmond Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5344,1834252.0,2020-10-25,Texas,Houston,1000 Cypress Station Dr,2.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,2.0
5345,1835497.0,2020-10-25,Pennsylvania,York,300 block of Pennsylvania Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5346,1837345.0,2020-10-25,Illinois,Harvey,156th St and Dixie Hwy,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5347,1835483.0,2020-10-25,Texas,Fort Worth,Western Center Blvd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5348,1834107.0,2020-10-25,Texas,Plantersville (Todd Mission),21778 FM 1774,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5349,1834249.0,2020-10-25,Texas,Dallas,300 block of N Griffin St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,25,6,1.0
5350,1833604.0,2020-10-24,Louisiana,Shreveport,8100 Pines Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5351,1834497.0,2020-10-24,Virginia,Roanoke,1900 block of Gayle St NW,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5352,1833590.0,2020-10-24,Tennessee,Murfreesboro,Stonewall Blvd and N Tennessee Blvd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5353,1834617.0,2020-10-24,Mississippi,Greenwood,W Martin Luther King Dr,2.0,8.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,10.0
5354,1835396.0,2020-10-24,California,San Francisco,Thomas Ave and Keith St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5355,1835387.0,2020-10-24,Louisiana,Reserve,400 block of NW 2nd St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5356,1834097.0,2020-10-24,Texas,Porter,23000 block of Owens Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5357,1834445.0,2020-10-24,Kentucky,Owensboro,2200 block of E 19th St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5358,1834359.0,2020-10-24,California,Watsonville,Main St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5359,1833493.0,2020-10-24,Tennessee,Memphis,1673 National St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5360,1834357.0,2020-10-24,California,Watsonville,Marchant St and E Front St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5361,1833542.0,2020-10-24,Michigan,Benton Harbor,500 block of Catalpa Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5362,1833600.0,2020-10-24,Louisiana,Plaquemine,Eli Craig Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5363,1845239.0,2020-10-24,Colorado,Westminster,5600 block of W 76th Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5364,1833701.0,2020-10-24,Nevada,Las Vegas,2900 block of Marlin Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5365,1833424.0,2020-10-24,Pennsylvania,Philadelphia,6200 block of Christian St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5366,1833419.0,2020-10-24,Pennsylvania,Philadelphia,500 E Duval St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5367,1833417.0,2020-10-24,Texas,San Angelo,600 block of E 20th St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5368,1833263.0,2020-10-24,Kentucky,Louisville,4100 block of Sirate Ln,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5369,1833193.0,2020-10-24,Indiana,Lawrenceburg,203 Deer Run Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5370,1833397.0,2020-10-24,Pennsylvania,West Mifflin,Midway Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5371,1833118.0,2020-10-24,Maryland,Hyattsville,5320 Queens Chapel Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5372,1834310.0,2020-10-24,Ohio,Cincinnati,1700 block of Gilsey Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5373,1834180.0,2020-10-24,Colorado,Golden,5000 block of McIntyre St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5374,1833277.0,2020-10-24,North Carolina,Charlotte,800 block of Potenza Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5375,1835114.0,2020-10-24,California,Corcoran,Dairy Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5376,1833188.0,2020-10-24,California,Fresno,Clark St and Sierra Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5377,1834415.0,2020-10-24,California,Fremont,300 block of Lemarc St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5378,1835056.0,2020-10-24,New York,Mount Vernon,232 S Fulton Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5379,1834128.0,2020-10-24,Missouri,Garden City,Main St and S 3rd St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5380,1833443.0,2020-10-24,Texas,Killeen,300 block of Blair St,3.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,3.0
5381,1841307.0,2020-10-24,Georgia,Cartersville (Euharlee),Milam Bridge Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5382,1833699.0,2020-10-24,Nevada,North Las Vegas,4500 block of Whelk Pl,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5383,1834114.0,2020-10-24,Louisiana,New Orleans,Alfred St and Sere St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5384,1834932.0,2020-10-24,Kansas,Leavenworth,,2.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,2.0
5385,1833441.0,2020-10-24,South Carolina,Florence,O'Hara Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5386,1834328.0,2020-10-24,South Carolina,Blair,State Rd S-20-99 and SC-215,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5387,1834907.0,2020-10-24,Michigan,Saginaw,Perkins St and S 20th St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5388,1834885.0,2020-10-24,Pennsylvania,Philadelphia,8000 block of Lyons Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5389,1833905.0,2020-10-24,Illinois,Chicago,1300 block of N Harding Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5390,1833341.0,2020-10-24,Illinois,Chicago,11421 S Calumet Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5391,1833808.0,2020-10-24,Illinois,Chicago,100 block of W Swann St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5392,1833872.0,2020-10-24,Illinois,Chicago,900 block of N Lawndale Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5393,1833866.0,2020-10-24,Florida,Brownsville,NW 24th Ave and NW 50th St,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,2.0
5394,1833909.0,2020-10-24,Indiana,Indianapolis,3900 block of Bennett Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5395,1834399.0,2020-10-24,Massachusetts,Worcester,500 Park Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5396,1833167.0,2020-10-24,Florida,Jacksonville,Oaks Plantation Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5397,1834041.0,2020-10-24,Pennsylvania,Quakertown,Old Ridge Rd,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5398,1833659.0,2020-10-24,Nevada,North Las Vegas,3300 block of Park Town St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5399,1833844.0,2020-10-24,Maryland,Baltimore,2900 block of Oakley Ave,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,2.0
5400,1833834.0,2020-10-24,Maryland,Baltimore,1800 block of Eagle St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5401,1833668.0,2020-10-24,New York,Brooklyn,51 Eldert St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5402,1833753.0,2020-10-24,Oregon,Portland,SE 48th Ave and SE Division St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5403,1833033.0,2020-10-24,Delaware,Newark,22 Marrows Rd,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,2.0
5404,1833217.0,2020-10-24,Georgia,Sylvester,615 E Franklin St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5405,1833685.0,2020-10-24,Mississippi,Jackson,3300 block of Bailey Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5406,1833656.0,2020-10-24,Louisiana,New Orleans,S Genois St and Erato St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5407,1834541.0,2020-10-24,Louisiana,Shreveport,8500 block of Panatela Ln,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5408,1835478.0,2020-10-24,Pennsylvania,Quakertown,1542 Mountain View Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5409,1834256.0,2020-10-24,California,Santa Paula,200 block of East Ventura St,1.0,2.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,3.0
5410,1834235.0,2020-10-24,Texas,Denton,100 block of Duchess Dr,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,2.0
5411,1833610.0,2020-10-24,Louisiana,Jena,1500 block of Church St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5412,1833593.0,2020-10-24,Arkansas,Hot Springs National Park (Hot Springs),609 Mountain Pine Rd,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,2.0
5413,1833606.0,2020-10-24,Kansas,Wichita,3205 N Broadway,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5414,1834596.0,2020-10-24,Maine,Old Town,345 Brunswick St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,24,5,1.0
5415,1832873.0,2020-10-23,New York,Syracuse,300 block of Westcott St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,1.0
5416,1832281.0,2020-10-23,Tennessee,Bolivar,900 block of W Jefferson St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,1.0
5417,1833506.0,2020-10-23,Tennessee,Memphis,3233 Ford Rd,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,2.0
5418,1836222.0,2020-10-23,California,Yucca Valley,1121 S. Kickapoo Trail,2.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,2.0
5419,1836215.0,2020-10-23,California,Adelanto,11200 block of La Habra Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,1.0
5420,1833553.0,2020-10-23,Michigan,Warren,29264 Gloede Dr,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,1.0
5421,1833531.0,2020-10-23,New Jersey,Beverly,101 Delacove Homes,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,1.0
5422,1835312.0,2020-10-23,Ohio,Cleveland,9900 block of Elk Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,1.0
5423,1833121.0,2020-10-23,Wisconsin,Goodman,600 block of 5th St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,1.0
5424,1832710.0,2020-10-23,Ohio,Columbus,3540 W Broad St,1.0,1.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,2.0
5425,1832261.0,2020-10-23,Kentucky,Louisville,2003 Highland Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,1.0
5426,1833474.0,2020-10-23,Texas,Houston,6400 block of Granite St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,1.0
5427,1833438.0,2020-10-23,Oklahoma,Oklahoma City,N Lottie Ave and NE 18th St,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,1.0
5428,1832598.0,2020-10-23,Illinois,Chicago,11131 S Champlain Ave,1.0,0.0,Homicide/Murder/Unintentional/DGU,,,,2020,10,23,4,1.0
